HospitalRecordId,PharmacyRecordId,MatchingTokens,TokenCount
9442a85e-a801-4727-8298-cc56c144ed48,6bc1e210-c391-4c72-a456-ce9369a643eb,T1|T2|T3|T4|T5,5
7d732b79-edf4-4600-8e5b-8691340cbbd7,1dff359d-ef4a-44d8-9b40-21b9fdd77de9,T1|T2|T3|T4|T5,5
4165d7d6-a655-430c-ba2c-d1ea64e4c7c0,922106b2-8152-4265-8dbc-74d847af19ed,T1|T2|T3|T4|T5,5
0a48da75-88b2-4fe5-b364-1d2933ea7de3,61554572-cd45-4390-9e7a-39897106e9e4,T1|T2|T3|T4|T5,5
86eac597-62b3-408a-9157-200150339deb,4c5e5baf-6650-4fda-aba5-ab13fb39d803,T1|T2|T3|T4|T5,5
bb14c0ec-9f8d-436d-81b0-2af1dfcc7b4a,7b553820-539f-43e9-bf02-4c1f4b89efc0,T1|T2|T3|T4|T5,5
0650deb0-f68e-4581-a333-fec5a895a036,1b125c86-59a3-4132-a69e-921e1947117c,T1|T2|T3|T4|T5,5
bc159976-18a9-4e23-98d6-41b0a1713451,14b20875-5df3-4da7-84e6-98c508dccc05,T1|T2|T3|T4|T5,5
9fda6dc0-3406-4ab4-a843-9df4b1d38fb3,726f637e-860d-436c-a696-a1da027b4c24,T1|T2|T3|T4|T5,5
2d54ff60-61b7-4b17-b887-8c40b6c734eb,d47855a8-556a-4cec-b1b6-a1fc973d26c9,T1|T2|T3|T4|T5,5
2cc0a19c-ee67-4e74-bdcb-ad19633e01a5,189a43f6-7f70-4099-8ae0-fa060ed8471d,T1|T2|T3|T4|T5,5
d9d07c4d-cc56-4839-825a-d0a98dd1df3d,0315aed6-e540-465f-9794-7339c382d903,T1|T2|T3|T4|T5,5
3f28de7b-9a9f-42d0-97fb-bc1b5ebcb89b,3ee20642-88a8-4d85-bed6-9bfa29b31481,T1|T2|T3|T4|T5,5
ca3ad79b-2345-4412-9c61-26083b603ab1,36ec75dd-a23b-48dc-91ce-de19e2b140bd,T1|T2|T3|T4|T5,5
6f8cd58c-cdc5-4de1-b10e-941a958b4322,bdc541a0-5094-4051-955d-9eaf9c8712dd,T1|T2|T3|T4|T5,5
91b1e2be-9efb-4cb5-803a-21130dad2183,8e179aee-d4ac-4aec-8e26-bc4b7d83571f,T1|T2|T3|T4|T5,5
bf54474b-bddc-420a-8b33-bfd12f3dda08,c5e11011-bd24-4b31-a597-dfc546912817,T1|T2|T3|T4|T5,5
99e8e43b-bc1c-4ba8-890e-95e88bc39f30,5b8b9350-5f48-4f1c-8adf-3a1f3d881e14,T1|T2|T3|T4|T5,5
c84f0c4c-cb7f-4630-9132-0cdd4f52c28d,0acb3d29-cc78-4478-99d2-90f862c70d23,T1|T2|T3|T4|T5,5
42a7d58c-1407-4809-8776-dc7befba5b49,3ed4c994-0129-4757-939a-8ac7f521f863,T1|T2|T3|T4|T5,5
ef193953-e249-49b6-9c96-18b1374f4c1c,7dad2711-b1a1-4533-b4c3-34a236cd1f08,T1|T2|T3|T4|T5,5
7ca1ef5c-fc35-436d-9c42-b6fa183a42cd,f8c6e893-a917-48b6-a371-c2badaaaa612,T1|T2|T3|T4|T5,5
bd56a6dc-25aa-4420-bd12-f2efdf5d9e35,b442ca79-a196-41b8-8299-3467b0d97f67,T1|T2|T3|T4|T5,5
c5fbcd3e-2232-4f6d-8ded-0e359f3ff0b3,0f0e4920-c799-40f0-ac46-1ed37c520047,T1|T2|T3|T4|T5,5
066a9096-a418-4db7-9917-599a4a31ba3f,0131e13f-40d8-4a6b-a168-96d908eeb8ff,T1|T2|T3|T4|T5,5
a66a2eab-f4e7-480c-9af5-e7752d232fd6,261db591-4b0a-4fb2-bb59-09492566b69b,T1|T2|T3|T4|T5,5
c0c72156-09f4-4305-9236-d69d24a75c9e,5c35e2a0-db03-44b6-b88a-9002b89e7a9d,T1|T2|T3|T4|T5,5
fe11f381-9501-4430-8846-ca849d76aa9b,1f5ba854-01fe-48fe-95e9-a0a185e37c58,T1|T2|T3|T4|T5,5
606aa910-169a-4719-9a6a-3e07df43e723,fd2b888a-902b-4c26-90c5-aa7f2db771a8,T1|T2|T3|T4|T5,5
936290df-9636-476b-a5ca-9c9285e8a212,ee197c6b-a75b-4b20-b6c4-e6da26895631,T1|T2|T3|T4|T5,5
47d3df62-a644-4cd1-98ec-c21e824655c7,48371ac3-3692-4306-ae98-affba909421f,T1|T2|T3|T4|T5,5
8181f370-5923-4bcf-9f2f-6cfd7b562450,af5f1d40-2be7-4fba-bc6e-c7e23c78a67e,T1|T2|T3|T4|T5,5
3c2bacda-efb0-4dbb-8bbd-3106d7931d88,30a3a694-492f-40c6-ad42-66eb3bd31d89,T1|T2|T3|T4|T5,5
f8d195cd-4730-4d3d-8888-22f97bd973b1,b36a1b3a-e3a9-4ff2-9921-745fb29149b8,T1|T2|T3|T4|T5,5
3573a679-f0c5-4c46-b643-098c1766ae2d,939267e6-c097-43bd-822b-bb259a62be21,T1|T2|T3|T4|T5,5
d1bea80e-cd9d-4fb6-b214-160cccc4620d,242d5956-dc3a-4fe2-bf36-e8a110825448,T1|T2|T3|T4|T5,5
a2564e71-2306-4b69-801c-ed7da5e7c5ae,0ae3b467-6e94-42cf-8300-0f16a946f795,T1|T2|T3|T4|T5,5
61b19221-9e9f-4773-8c23-ab5b95e04b98,8345c38b-1601-4742-9bdc-9f3ca3c2d5d0,T1|T2|T3|T4|T5,5
99d4f02e-42de-47d7-9b0c-9505d14dabce,58d49c23-f8f4-4d97-a224-d36615e4b34f,T1|T2|T3|T4|T5,5
9e1e3163-0129-4682-ae5e-2315f8670fad,ffff53d6-35eb-4a1d-be7a-3784ae7a0c98,T1|T2|T3|T4|T5,5
